SIGLA_PARTIDO,ANO,TIPO
PFL,2018,VELHA DIREITA
PFL,2016,VELHA DIREITA
PFL,2014,VELHA DIREITA
PFL,2012,VELHA DIREITA
PFL,2010,VELHA DIREITA
PFL,2008,VELHA DIREITA
PFL,2006,VELHA DIREITA
PFL,2004,VELHA DIREITA
PFL,2002,VELHA DIREITA
PFL,2000,VELHA DIREITA
PFL,1998,VELHA DIREITA
PFL,1996,VELHA DIREITA
PFL,1994,VELHA DIREITA
DEM,2018,VELHA DIREITA
DEM,2016,VELHA DIREITA
DEM,2014,VELHA DIREITA
DEM,2012,VELHA DIREITA
DEM,2010,VELHA DIREITA
DEM,2008,VELHA DIREITA
DEM,2006,VELHA DIREITA
DEM,2004,VELHA DIREITA
DEM,2002,VELHA DIREITA
DEM,2000,VELHA DIREITA
DEM,1998,VELHA DIREITA
DEM,1996,VELHA DIREITA
DEM,1994,VELHA DIREITA
PST,2018,VELHA DIREITA
PST,2016,VELHA DIREITA
PST,2014,VELHA DIREITA
PST,2012,VELHA DIREITA
PST,2010,VELHA DIREITA
PST,2008,VELHA DIREITA
PST,2006,VELHA DIREITA
PST,2004,VELHA DIREITA
PST,2002,VELHA DIREITA
PST,2000,VELHA DIREITA
PST,1998,VELHA DIREITA
PST,1996,VELHA DIREITA
PST,1994,VELHA DIREITA
PGT,2018,VELHA DIREITA
PGT,2016,VELHA DIREITA
PGT,2014,VELHA DIREITA
PGT,2012,VELHA DIREITA
PGT,2010,VELHA DIREITA
PGT,2008,VELHA DIREITA
PGT,2006,VELHA DIREITA
PGT,2004,VELHA DIREITA
PGT,2002,VELHA DIREITA
PGT,2000,VELHA DIREITA
PGT,1998,VELHA DIREITA
PGT,1996,VELHA DIREITA
PGT,1994,VELHA DIREITA
PL,2018,VELHA DIREITA
PL,2016,VELHA DIREITA
PL,2014,VELHA DIREITA
PL,2012,VELHA DIREITA
PL,2010,VELHA DIREITA
PL,2008,VELHA DIREITA
PL,2006,VELHA DIREITA
PL,2004,VELHA DIREITA
PL,2002,VELHA DIREITA
PL,2000,VELHA DIREITA
PL,1998,VELHA DIREITA
PL,1996,VELHA DIREITA
PL,1994,VELHA DIREITA
PRONA,2018,VELHA DIREITA
PRONA,2016,VELHA DIREITA
PRONA,2014,VELHA DIREITA
PRONA,2012,VELHA DIREITA
PRONA,2010,VELHA DIREITA
PRONA,2008,VELHA DIREITA
PRONA,2006,VELHA DIREITA
PRONA,2004,VELHA DIREITA
PRONA,2002,VELHA DIREITA
PRONA,2000,VELHA DIREITA
PRONA,1998,VELHA DIREITA
PRONA,1996,VELHA DIREITA
PRONA,1994,VELHA DIREITA
PR,2018,VELHA DIREITA
PR,2016,VELHA DIREITA
PR,2014,VELHA DIREITA
PR,2012,VELHA DIREITA
PR,2010,VELHA DIREITA
PR,2008,VELHA DIREITA
PR,2006,VELHA DIREITA
PR,2004,VELHA DIREITA
PR,2002,VELHA DIREITA
PR,2000,VELHA DIREITA
PR,1998,VELHA DIREITA
PR,1996,VELHA DIREITA
PR,1994,VELHA DIREITA
PPB,2018,VELHA DIREITA
PPB,2016,VELHA DIREITA
PPB,2014,VELHA DIREITA
PPB,2012,VELHA DIREITA
PPB,2010,VELHA DIREITA
PPB,2008,VELHA DIREITA
PPB,2006,VELHA DIREITA
PPB,2004,VELHA DIREITA
PPB,2002,VELHA DIREITA
PPB,2000,VELHA DIREITA
PPB,1998,VELHA DIREITA
PPB,1996,VELHA DIREITA
PPB,1994,VELHA DIREITA
PP,2018,VELHA DIREITA
PP,2016,VELHA DIREITA
PP,2014,VELHA DIREITA
PP,2012,VELHA DIREITA
PP,2010,VELHA DIREITA
PP,2008,VELHA DIREITA
PP,2006,VELHA DIREITA
PP,2004,VELHA DIREITA
PP,2002,VELHA DIREITA
PP,2000,VELHA DIREITA
PP,1998,VELHA DIREITA
PP,1996,VELHA DIREITA
PP,1994,VELHA DIREITA
PSC,2018,VELHA DIREITA
PSC,2016,VELHA DIREITA
PSC,2014,VELHA DIREITA
PSC,2012,VELHA DIREITA
PSC,2010,VELHA DIREITA
PSC,2008,VELHA DIREITA
PSC,2006,VELHA DIREITA
PSC,2004,VELHA DIREITA
PSC,2002,VELHA DIREITA
PSC,2000,VELHA DIREITA
